51,-63,-0.27,0.13,-1.48,2.73,-11.85,72.78,67,1
52,-62,-0.3,0.11,-1.44,13.77,-43.47,31.85,68,1
53,-58,-0.09,-0.04,-1.02,60.73,-77.37,66.64,70,1
54,-60,-0.06,-0.11,-0.99,68.02,-68.34,122.82,71,1
55,-61,-0.03,-0.09,-1.13,44.38,-74.84,127.36,72,1
56,-65,-0.18,-0.04,-1.28,22.02,-72.36,82.48,73,1
57,-60,-0.07,-0.13,-1.23,18.55,-55.19,68.43,74,1
58,-66,-0.01,-0.16,-1.07,14.25,-41.44,80.66,75,1
59,-57,0.05,-0.02,-1.04,43.14,-53.28,75.34,78,1
60,-57,0.02,-0.02,-1.12,56.88,-51.38,74.12,79,1
61,-64,-0.14,0.05,-1.05,66.05,-37.79,26.99,81,1
62,-60,-0.21,0.05,-1.12,75.43,-27.04,12.37,82,1
63,-55,-0.25,0.01,-1.14,66.95,-6.92,16.69,83,1
64,-53,-0.22,0.03,-1.24,44.3,9.76,-1.4,84,1
65,-52,-0.35,0.05,-1.32,29.69,35.15,14.82,85,1
66,-52,-0.35,0.06,-1.09,18.31,45.34,37.93,86,1
67,-52,-0.2,0.2,-0.78,-30.28,36.15,55.67,88,1
68,-54,0.03,0.23,-1.06,-28.1,42.79,43.29,89,1
69,-60,-0.21,0.21,-1.31,-21.95,38.34,21.53,90,1
70,-56,-0.24,0.15,-1.17,-26.4,64.92,-7.71,91,1
71,-59,-0.06,0.09,-1,-27.84,72.36,-13.04,92,1
72,-58,-0.04,-0.01,-0.96,-36.15,67.33,14.24,93,1
73,-61,-0.1,0,-1.02,-47.24,65.08,38.05,94,1
74,-63,-0.1,0.09,-1.08,-46.15,52.32,39.54,95,1
75,-59,-0.22,0.14,-1.05,-35.31,37.89,11.4,96,1
76,-64,-0.21,0.01,-1.1,-19.11,22.31,11.4,98,1
77,-68,-0.19,0.09,-1.35,-13.18,-4.05,37.37,100,1
78,-64,-0.16,0.13,-1.52,5.9,-23.8,24.38,101,1
79,-64,-0.16,0.07,-1.51,19.55,-46.3,12.83,102,1
80,-60,-0.05,0.05,-1.29,39.17,-72.11,33.91,103,1
81,-57,-0.05,0.06,-1.08,78.35,-103.18,105.44,105,1
82,-56,-0.02,0,-1.32,72.08,-118.43,107.86,106,1
83,-62,-0.08,0.03,-1.42,53.77,-126.28,70.87,107,1
84,-53,-0.05,0.04,-1.03,79.48,-106.11,-12.07,109,1
85,-56,-0.04,-0.03,-0.98,89.11,-89.81,-3.21,110,1
86,-52,-0.08,-0.03,-0.95,79.24,-86.76,-25.11,111,1
87,-50,-0.07,-0.04,-0.9,69.85,-80.16,-51.94,112,1
88,-52,-0.17,-0.19,-0.85,38.23,-9.62,-12.27,115,1
89,-57,-0.28,-0.18,-0.9,-1.32,21.18,8.16,116,1
90,-59,-0.29,-0.15,-1.16,-41.81,67.52,13.85,117,1
91,-56,-0.38,-0.06,-1.21,-83.65,97.14,14.18,118,1
92,-57,-0.27,0.03,-1.17,-111.76,117.17,6.82,119,1
93,-62,-0.29,0.12,-1.04,-120.67,109.29,1.79,120,1
94,-56,-0.18,0.14,-1.09,-97.82,99.77,7.7,121,1
95,-56,-0.03,0.18,-1.46,-25.3,37.23,33.08,123,1
96,-56,-0.17,0.19,-1.28,7.68,11.94,-13.44,124,1
97,-67,-0.16,-0.14,-0.84,1.25,18.67,-111.44,127,1
98,-59,-0.18,-0.21,-0.88,-33.15,30.8,-103.51,128,1
99,-63,-0.25,-0.15,-1.03,-67.26,46.34,-52.88,130,1
100,-65,-0.26,-0.13,-1.19,-64.98,49.07,-11.69,131,1
101,-62,-0.24,-0.07,-1.47,-54.08,38.34,22.43,132,1
102,-71,-0.06,0.02,-1.67,-30.35,6.06,46.01,133,1
103,-71,-0.12,0.15,-1.18,61.59,-79.69,38.62,135,1
104,-58,-0.2,0.11,-0.94,101.9,-81.82,87.1,136,1
105,-73,-0.06,0,-1.05,103.13,-92.81,98.79,137,1
